Loading pretrained model weights selectively (backbone)
----------
epoch 1
1/849, train_loss: 0.7788
2/849, train_loss: 1.1720
3/849, train_loss: 1.5867
4/849, train_loss: 0.6011
5/849, train_loss: 0.9357
6/849, train_loss: 0.8744
7/849, train_loss: 0.6899
8/849, train_loss: 0.7526
9/849, train_loss: 1.2183
10/849, train_loss: 0.6982
11/849, train_loss: 1.4023
12/849, train_loss: 0.2712
13/849, train_loss: 0.5856
14/849, train_loss: 0.8187
15/849, train_loss: 0.9734
16/849, train_loss: 1.1631
17/849, train_loss: 0.3936
18/849, train_loss: 0.9423
19/849, train_loss: 0.5173
20/849, train_loss: 0.4208
21/849, train_loss: 0.4030
22/849, train_loss: 1.4697
23/849, train_loss: 0.8378
24/849, train_loss: 0.5139
25/849, train_loss: 1.1794
26/849, train_loss: 0.5997
27/849, train_loss: 0.5492
28/849, train_loss: 0.7246
29/849, train_loss: 0.7993
30/849, train_loss: 1.0490
31/849, train_loss: 0.5439
32/849, train_loss: 1.5864
33/849, train_loss: 0.6045
34/849, train_loss: 1.4160
35/849, train_loss: 0.7354
36/849, train_loss: 0.7415
37/849, train_loss: 0.5674
38/849, train_loss: 0.7343
39/849, train_loss: 0.6423
40/849, train_loss: 0.6182
41/849, train_loss: 0.4829
42/849, train_loss: 1.2212
43/849, train_loss: 0.3397
44/849, train_loss: 1.3213
45/849, train_loss: 0.8406
46/849, train_loss: 1.3022
47/849, train_loss: 0.3994
48/849, train_loss: 0.3892
49/849, train_loss: 0.9070
50/849, train_loss: 1.0884
51/849, train_loss: 1.0437
52/849, train_loss: 0.7517
53/849, train_loss: 0.5667
54/849, train_loss: 0.8069
55/849, train_loss: 0.6082
56/849, train_loss: 0.6758
57/849, train_loss: 0.6243
58/849, train_loss: 0.6748
59/849, train_loss: 0.8782
60/849, train_loss: 1.0212
61/849, train_loss: 0.8140
62/849, train_loss: 0.4662
63/849, train_loss: 0.4753
64/849, train_loss: 1.0688
65/849, train_loss: 0.4426
66/849, train_loss: 0.4167
67/849, train_loss: 0.7700
68/849, train_loss: 1.1709
69/849, train_loss: 1.1338
70/849, train_loss: 0.4498
71/849, train_loss: 0.9495
72/849, train_loss: 0.5503
73/849, train_loss: 0.6321
74/849, train_loss: 0.8032
75/849, train_loss: 0.6323
76/849, train_loss: 0.7065
77/849, train_loss: 0.6646
78/849, train_loss: 0.7156
79/849, train_loss: 0.7029
80/849, train_loss: 0.7153
81/849, train_loss: 0.6731
82/849, train_loss: 0.6538
83/849, train_loss: 0.6736
84/849, train_loss: 0.7410
85/849, train_loss: 0.8440
86/849, train_loss: 0.7373
87/849, train_loss: 0.7551
88/849, train_loss: 0.7637
89/849, train_loss: 0.6824
90/849, train_loss: 0.7192
91/849, train_loss: 0.6465
92/849, train_loss: 0.7344
93/849, train_loss: 0.6755
94/849, train_loss: 0.7151
95/849, train_loss: 0.6633
96/849, train_loss: 0.6951
97/849, train_loss: 0.6699
98/849, train_loss: 0.5396
99/849, train_loss: 0.7578
100/849, train_loss: 0.4497
101/849, train_loss: 0.4088
102/849, train_loss: 1.2271
103/849, train_loss: 0.3274
104/849, train_loss: 0.8571
105/849, train_loss: 1.3525
106/849, train_loss: 1.2915
107/849, train_loss: 0.8025
108/849, train_loss: 0.7533
109/849, train_loss: 0.7251
110/849, train_loss: 0.8865
111/849, train_loss: 0.6790
112/849, train_loss: 0.7263
113/849, train_loss: 0.6272
114/849, train_loss: 0.6775
115/849, train_loss: 0.9685
116/849, train_loss: 0.4547
117/849, train_loss: 0.4337
118/849, train_loss: 0.7432
119/849, train_loss: 0.3661
120/849, train_loss: 0.7893
121/849, train_loss: 0.8116
122/849, train_loss: 0.8267
123/849, train_loss: 0.8326
124/849, train_loss: 0.8408
125/849, train_loss: 1.3276
126/849, train_loss: 1.2437
127/849, train_loss: 0.8118
128/849, train_loss: 1.0347
129/849, train_loss: 0.7278
130/849, train_loss: 0.8301
131/849, train_loss: 0.7444
132/849, train_loss: 0.7292
133/849, train_loss: 0.7744
134/849, train_loss: 0.7043
135/849, train_loss: 0.7510
136/849, train_loss: 0.6663
137/849, train_loss: 0.7141
138/849, train_loss: 0.8052
139/849, train_loss: 0.7546
140/849, train_loss: 0.7500
141/849, train_loss: 0.7732
142/849, train_loss: 0.7034
143/849, train_loss: 0.6887
144/849, train_loss: 0.7910
145/849, train_loss: 0.7888
146/849, train_loss: 0.7332
147/849, train_loss: 0.6750
148/849, train_loss: 0.6624
149/849, train_loss: 0.7039
150/849, train_loss: 0.6809
151/849, train_loss: 0.7361
152/849, train_loss: 0.6929
153/849, train_loss: 0.7654
154/849, train_loss: 0.6218
155/849, train_loss: 0.5813
156/849, train_loss: 0.7180
157/849, train_loss: 0.7991
158/849, train_loss: 0.6895
159/849, train_loss: 0.4659
160/849, train_loss: 0.7340
161/849, train_loss: 0.4071
162/849, train_loss: 1.2109
163/849, train_loss: 0.4110
164/849, train_loss: 0.3839
165/849, train_loss: 0.7466
166/849, train_loss: 0.7719
167/849, train_loss: 1.1948
168/849, train_loss: 0.7789
169/849, train_loss: 0.7207
170/849, train_loss: 0.4452
171/849, train_loss: 0.9871
172/849, train_loss: 0.7216
173/849, train_loss: 0.5222
174/849, train_loss: 0.7205
175/849, train_loss: 0.6978
176/849, train_loss: 0.8394
177/849, train_loss: 0.7168
178/849, train_loss: 0.6543
179/849, train_loss: 0.6445
180/849, train_loss: 0.7937
181/849, train_loss: 0.7102
182/849, train_loss: 0.7056
183/849, train_loss: 0.7170
184/849, train_loss: 0.7625
185/849, train_loss: 0.6360
186/849, train_loss: 0.7205
187/849, train_loss: 0.7024
188/849, train_loss: 0.6809
189/849, train_loss: 0.7314
190/849, train_loss: 0.6643
191/849, train_loss: 0.7483
192/849, train_loss: 0.6929
193/849, train_loss: 0.7073
194/849, train_loss: 0.7588
195/849, train_loss: 0.6477
196/849, train_loss: 0.7019
197/849, train_loss: 0.6917
198/849, train_loss: 0.6497
199/849, train_loss: 0.7546
200/849, train_loss: 0.7700
201/849, train_loss: 0.7585
202/849, train_loss: 0.6455
203/849, train_loss: 0.7292
204/849, train_loss: 0.7007
205/849, train_loss: 0.6841
206/849, train_loss: 0.6543
207/849, train_loss: 0.6201
208/849, train_loss: 0.7000
209/849, train_loss: 0.5288
210/849, train_loss: 0.9387
211/849, train_loss: 0.7468
212/849, train_loss: 1.0208
213/849, train_loss: 0.4474
214/849, train_loss: 0.4426
215/849, train_loss: 1.0513
216/849, train_loss: 1.0522
217/849, train_loss: 0.7323
218/849, train_loss: 0.9673
219/849, train_loss: 0.7183
220/849, train_loss: 0.8816
221/849, train_loss: 0.8303
222/849, train_loss: 0.6399
223/849, train_loss: 0.6799
224/849, train_loss: 0.7048
225/849, train_loss: 0.6685
226/849, train_loss: 0.6223
227/849, train_loss: 0.7000
228/849, train_loss: 0.7234
229/849, train_loss: 0.7178
230/849, train_loss: 0.9104
231/849, train_loss: 0.5159
232/849, train_loss: 0.5063
233/849, train_loss: 0.9500
234/849, train_loss: 0.4867
235/849, train_loss: 0.7589
236/849, train_loss: 0.9834
237/849, train_loss: 0.7397
238/849, train_loss: 0.7344
239/849, train_loss: 0.7253
240/849, train_loss: 0.7341
241/849, train_loss: 0.7053
242/849, train_loss: 0.6863
243/849, train_loss: 0.6978
244/849, train_loss: 0.6934
245/849, train_loss: 0.6636
246/849, train_loss: 0.7593
247/849, train_loss: 0.7219
248/849, train_loss: 0.6912
249/849, train_loss: 0.7065
250/849, train_loss: 0.7063
251/849, train_loss: 0.7007
252/849, train_loss: 0.6826
253/849, train_loss: 0.6106
254/849, train_loss: 0.7236
255/849, train_loss: 0.7051
256/849, train_loss: 0.8577
257/849, train_loss: 0.5750
258/849, train_loss: 0.7112
259/849, train_loss: 0.6912
260/849, train_loss: 0.8618
261/849, train_loss: 0.7002
262/849, train_loss: 0.8389
263/849, train_loss: 0.5869
264/849, train_loss: 0.7891
265/849, train_loss: 0.7717
266/849, train_loss: 0.7275
267/849, train_loss: 0.7236
268/849, train_loss: 0.6882
269/849, train_loss: 0.6113
270/849, train_loss: 0.6833
271/849, train_loss: 0.8770
272/849, train_loss: 0.5376
273/849, train_loss: 0.9092
274/849, train_loss: 0.9243
275/849, train_loss: 0.9001
276/849, train_loss: 0.7112
277/849, train_loss: 0.8525
278/849, train_loss: 0.5823
279/849, train_loss: 0.6589
280/849, train_loss: 0.6125
281/849, train_loss: 0.6875
282/849, train_loss: 0.7261
283/849, train_loss: 0.7905
284/849, train_loss: 0.6892
285/849, train_loss: 0.6597
286/849, train_loss: 0.7290
287/849, train_loss: 0.6621
288/849, train_loss: 0.6514
289/849, train_loss: 0.6848
290/849, train_loss: 0.6636
291/849, train_loss: 0.6328
